 ,Amazonに支払う額 | 出品者からの返済額, , ,未払金
 ,サービス料金,Amazon手数料,FBA保管手数料：,経費
 ,サービス料金,Amazon手数料,FBAパートナーキャリアの配送料,経費
 ,サービス料金,Amazon手数料,FBA在庫の返送手数料,経費
 ,サービス料金,Amazon手数料,月額登録料：,経費
 ,サービス料金,Amazon手数料,FBA長期在庫保管手数料,経費
 ,サービス料金,Amazon手数料,購入者返品作業手数料,経費
 ,サービス料金,Amazon手数料,購入者返品配送手数料,経費
 ,サービス料金,Amazon手数料,FBA在庫の廃棄手数料,経費
*,注文に対する支払い,商品代金, ,売上
*,注文に対する支払い,Amazon手数料,カテゴリー成約料：,原価（手数料）
*,注文に対する支払い,Amazon手数料,出荷作業手数料 (個数あたり)：,原価（手数料）
 ,注文に対する支払い,Amazon手数料,出荷作業手数料 (個数あたり)：,原価（送料）
*,注文に対する支払い,Amazon手数料,基本成約料：,原価（手数料）
*,注文に対する支払い,Amazon手数料,発送重量手数料：,原価（手数料）
*,注文に対する支払い,Amazon手数料,販売手数料：,原価（手数料）
*,注文に対する支払い,Amazon手数料,代引手数料チャージバック,原価（手数料）
*,注文に対する支払い,Amazon手数料,配送料チャージバック：,原価（手数料）
*,注文に対する支払い,Amazon手数料,ギフト包装料返金：,原価（手数料）
 ,注文に対する支払い,Amazon手数料,発送手数料（出荷あたり）,原価（送料）
*,注文に対する支払い,その他,代引手数料：,原価（手数料）
*,注文に対する支払い,その他,配送料：,原価（手数料）
*,注文に対する支払い,その他,ギフト包装,原価（手数料）
*,注文に対する支払い,プロモーション割引額, ,原価（手数料）
*,注文に対する支払い,プロモーション割引額,配送料：,原価（手数料）
*,返金,Amazonポイントの費用, ,原価（手数料）
*,返金,Amazonポイントの費用,；；；；；,原価（手数料）
*,返金,Amazon手数料,カテゴリー成約料：,原価（手数料）
*,返金,Amazon手数料,基本成約料：,原価（手数料）
*,返金,Amazon手数料,販売手数料：,原価（手数料）
*,返金,Amazon手数料,代引手数料チャージバック,原価（手数料）
*,返金,Amazon手数料,配送料チャージバック：,原価（手数料）
*,返金,Amazon手数料,返金手数料：,原価（手数料）
*,返金,その他,代引手数料：,原価（手数料）
*,返金,その他,配送料：,原価（手数料）
*,返金,プロモーション割引額,配送料：,原価（手数料）
*,返金,商品代金, ,売上
 ,その他,その他,前の引当額の残高,
 ,その他,その他,現在の引当額,
 ,その他,FBA在庫の返金 - カスタマーサービスの問題,カスタマーサービスの問題,売上(FBA在庫の返金)
*,その他,FBA在庫の返金 - 購入者による返品, ,売上(FBA在庫の返金)
,その他,その他,その他の手数料調整金（登録手数料を除く）：,経費
